name,amount,price,dosage_form,manufacturer,barcode
Анаферон детский,20,103.67,"таблетки для рассасывания, 20 шт. - упаковки ячейковые контурные - пачки картонные","ООО ""Научно-производственная фирма ""Материа Медика Холдинг"" - Россия",4607009581071
Сурфактант-БЛ,2,15606.00,"лиофилизат для приготовления эмульсии для эндотрахеального, эндобронхиального и ингаляционного введения 75 мг - флаконы 10 мл (2) - пачки картонные","ООО ""Биосурф"" - Россия",4607002420124
Карбопект,20,34.02,"таблетки 230 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные","ЗАО ""Медисорб"" - Россия",4603182002327
Карбопект,50,85.05,"таблетки 230 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","ЗАО ""Медисорб"" - Россия",4603182002334
Уголь активированный,5500,2286.90,"таблетки 250 мг, 10 шт. - упаковки безъячейковые контурные (550) - ящики картонные","ОАО ""Ирбитский химико-фармацевтический завод"" - Россия",4603276005739
Уголь активированный,6,3.54,"таблетки 250 мг, 6 шт. - упаковки безъячейковые контурные","ОАО ""Ирбитский химико-фармацевтический завод"" - Россия",4603276005524
Уголь активированный,6000,3542.40,"таблетки 250 мг, 6 шт. - упаковки безъячейковые контурные (1000) - ящики картонные","ОАО ""Ирбитский химико-фармацевтический завод"" - Россия",4603276005746
Уголь активированный МС,20,11.32,"таблетки 250 мг, 10 шт. - упаковки безъячейковые контурные (2) - пачки картонные","ЗАО ""Медисорб"" - Россия",4603182000200
Ультра-адсорб,15,136.76,"капсулы 200 мг, 15 шт. - упаковки ячейковые контурные - пачки картонные",Лаинко С.А. - Испания,8431178120214
Амиодарон,30,33.33,"таблетки 200 мг, 30 шт. - банки темного стекла - пачки картонные","ЗАО ""Северная звезда"" - Россия",4607005891372
Амитриптилин,10,92.65,"раствор для внутримышечного введения 10 мг/мл, 1 шт., 2 мл - ампулы (5) - упаковки контурные пластиковые (поддоны) (2) - пачки картонные",Зентива а.с. - Чешская Республика,8594739011625
Аскорбиновая кислота,10,16.45,"раствор для внутривенного и внутримышечного введения 50 мг/мл, 2 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные","ОАО ""Биосинтез"" - Россия",4602884000747
Атенолол,30,8.46,"таблетки 50 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные","ЗАО ""Канонфарма продакшн"" - Россия",4606486000433
Ацикловир,20,15.55,"таблетки 200 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные","ЗАО ""Северная звезда"" - Россия",4607005890795
Виролекс,1,263.43,"мазь глазная 3%, 4.5 г - тубы алюминиевые - пачки картонные","КРКА, д.д., Ново место - Словения",3838989500498
Бар-ВИПС,1,60.48,"порошок для приготовления суспензии для приема внутрь, 240 г - пакеты из комбинированных материалов","ООО ""Фирма ""Випс-Мед"" - Россия",4603761000010
Бленамакс,1,860.03,"лиофилизат для приготовления раствора для инъекций 15 ЕД, 1 шт. - флаконы - пачки картонные",Вл. - Тева Фармацевтические Предприятия Лтд - Израиль; Пр. - Фармахеми Б.В. - Нидерланды,7290008097642
Галоперидол,50,12.33,"таблетки 1.5 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","ЗАО ""Канонфарма продакшн"" - Россия",4606486004608
Глюкоза,10,25.68,"раствор для внутривенного введения 400 мг/мл, 10 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - коробки картонные","ОАО ""Биосинтез"" - Россия",4602884003144
Регидрон,20,307.97,"порошок для приготовления раствора для приема внутрь, 18.9 г - пакетики из алюминиевой фольги ламинированные (20) - пачки картонные",Орион Корпорейшн - Финляндия,6432100002525
Седуксен,5,48.41,"раствор для внутривенного и внутримышечного введения 5 мг/мл, 2 мл - ампулы темного стекла (5) - поддоны пластиковые - пачки картонные","Вл., Пр. - ОАО ""Гедеон Рихтер"" - Венгрия; Уп. - ЗАО ""Гедеон Рихтер-РУС"" - Россия",4605469000835
Простенонгель,1,307.82,"гель интрацервикальный 1 мг/доза, 1 доза, 3.5 г - шприцы /в комплекте с катетером стерильным/ - пачки картонные","АО ""Кевельт"" - Республика Эстония",4740505000018
